,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
1254,34.002747,-89.79919,0.3461357354781268
1034,43.66028,11.90167,0.3469026273414702
690,44.3818,7.5382,0.3469696814429567
626,34.3497,107.2058,0.3487090822364194
811,43.39873,6.075611,0.3491642045521608
762,45.158745,1.537222,0.3494507465904015
147,30.9891,112.1969,0.3494940401021901
1257,41.182465,-81.33048,0.3497222213239033
896,43.1804,-2.2682,0.3506754961644543
537,23.7233,114.6892,0.3511105102509984
1066,45.263142,27.969506,0.3514902536192941
335,34.2778,117.2933,0.3544572814334336
1110,53.40337,-1.752006,0.354608965300523
1045,41.932892,12.506947,0.3552864909046055
1430,38.85287,-77.63462,0.3553301490726989
831,45.148333,9.940278,0.3554133572576924
328,31.1654,121.412,0.3565696842641838
1431,40.73614,-73.82153,0.3566257300738228
303,36.5713,114.4918,0.3570062583505099
748,43.2941,-5.6796,0.3571829218232197
76,40.7514,120.8392,0.3572486073763793
847,41.97833,21.47,0.357298269024085
723,46.19583,6.240556,0.3586417320004946
123,34.5578,117.7276,0.3604217287714623
683,45.6725,12.238611,0.3633607612927507
400,27.0999,114.9658,0.3663866382106854
1382,38.06503,-84.49761,0.3665210584224407
843,43.223044,27.587239,0.3674170110980714
52,30.3197,112.2494,0.3698815396755581
177,39.4467,76.0072,0.3702544518975373
1295,41.6175,-87.199165,0.3730840220601602
568,38.8959,115.5213,0.373107958402279
1357,42.14175,-80.03861,0.3740255425285414
1410,29.68639,-95.29472,0.374458515673327
738,45.431539,28.054742,0.3751912542582318
1263,36.019184,-83.87381,0.3753402921033853
27,40.8434,121.0533,0.3760684733014189
1348,34.454514,-94.143524,0.3780222099420808
409,27.7844,114.3956,0.3794007378441804
940,48.248993,16.357079,0.3802395842912395
275,38.2991,116.8842,0.3809021330350017
155,31.737,116.5079,0.3816782928646189
792,45.760833,11.736667,0.3831924753909895
1205,39.48963,16.3868,0.3836139890986209
1063,48.326013,10.903051,0.3856345994270764
102,36.0783,111.5531,0.3857462427168384
1314,30.085262,-93.76134,0.3887718744937852
424,33.774,113.182,0.3896960284782464
351,32.4639,119.888,0.3900822160943353
574,38.497,106.1015,0.3906178845650699
9,44.6075,129.6364,0.3913154633055608
737,49.233464,6.987601,0.3921816796249814
1332,35.9138,-81.191,0.3928278667543985
1441,31.188932,-85.423096,0.3928855475789476
1370,42.51334,-83.005974,0.393001010528864
233,37.5136,111.1297,0.393863303508437
721,45.916943,6.135556,0.3940735291569491
129,36.2017,117.0885,0.3950869211383721
727,47.651725,23.570508,0.3956270073158137
666,26.5424,106.674,0.3995047375322087
488,43.9174,81.2996,0.403368049757108
373,43.79,125.4605,0.4034837805140586
126,37.5433,121.3719,0.4035048557859108
842,47.091111,17.901122,0.4046051580547069
1290,35.587143,-83.07416,0.4062135693804794
1136,42.45639,14.23472,0.4068437164504009
1313,38.86067,-90.10585,0.4076589979769434
1379,32.50996,-92.046196,0.4094605593298603
614,32.1873,119.4424,0.4099464184881103
1401,30.681719,-91.36625,0.4106767964789168
573,30.4663,106.6271,0.412500159364685
240,46.6528,126.964,0.4126408532233639
1267,35.85611,-78.574165,0.4136235586571401
65,40.6288,109.8642,0.413950525871338
786,46.80138889,13.49388889,0.4162835762227594
450,37.197,122.038,0.4185242994089705
