,lat,lon,Date_Mid_Greenup_Phase_1_temp_r
1357,42.14175,-80.03861,-0.3228703464270956
518,29.5844,103.7627,-0.3221315391964305
257,45.3039,130.9429,-0.3220339769839827
1242,35.2318,-77.5669,-0.3216593026655138
838,45.1391,7.0501,-0.3199977002312642
1324,40.283092,-74.742615,-0.3194827245140034
45,34.7781,114.3389,-0.3193504174118476
503,26.2331,111.6236,-0.3193370047526113
263,46.5656,131.12,-0.3192840913089851
456,29.7178,118.327,-0.3190424532666102
238,50.2472,127.5291,-0.3184006387477587
211,41.5881,120.4318,-0.3155780210486331
730,45.683333,9.466667,-0.3149066917791563
62,30.7236,103.9728,-0.3148841649467023
340,32.02,120.87,-0.313748501406783
787,49.50504,5.97694,-0.3137121974757197
1042,53.924712,9.532635,-0.3133963992971699
32,34.3672,107.1906,-0.3131990651389429
891,42.516944,1.56525,-0.3131801921887146
1398,27.939747,-82.000084,-0.3130059880525249
685,48.85731,7.314175,-0.3128012574356688
400,27.0999,114.9658,-0.3096733953888015
890,47.2225,-1.5375,-0.3093753411080018
422,32.0023,118.7752,-0.308503117603604
1219,47.60472222,15.67305556,-0.3080832101061129
210,42.2217,123.7153,-0.3072480247114508
1286,36.02661,-80.341965,-0.3053536842747588
1278,41.24045,-80.66272,-0.3043471833805128
1050,46.522,6.63963,-0.3038027510421088
472,35.176,113.2467,-0.3033005810813756
50,34.7752,111.1922,-0.3024400365988305
853,41.694342,24.738078,-0.3017409555874684
896,43.1804,-2.2682,-0.3013055365859969
310,36.663,117.0495,-0.3011388948385079
1289,35.379166,-82.7925,-0.3011004979580903
434,29.4758,113.2621,-0.3006064195568295
375,43.8772,125.3716,-0.2994011317582959
233,37.5136,111.1297,-0.2986454997049873
1206,45.238642,19.835704,-0.2980423202054861
605,27.2442,111.5283,-0.2973936424854458
943,47.05917,15.016667,-0.29709187311429
581,42.0353,119.2658,-0.2966366579626006
639,33.3942,120.156,-0.2951259500063176
960,51.25210341,4.491362028,-0.2948658998821739
792,45.760833,11.736667,-0.2945743337707386
130,32.1195,114.0775,-0.2939435050410772
737,49.233464,6.987601,-0.2933823036172276
397,26.3003,106.805,-0.2912466178452444
1365,41.61524,-71.72,-0.2909274295020547
965,45.59667,5.918611,-0.290641580520997
167,30.4742,114.9028,-0.2901575241142081
728,49.442356,1.093789,-0.2901480063939834
929,51.897598,14.057064,-0.289390110118953
691,48.001511,7.832122,-0.2884077966837866
1414,40.046665,-76.28333,-0.2872463987718879
452,24.5058,118.0936,-0.2860751646863092
1438,35.206112,-111.65278,-0.2860724099747616
1037,49.83918762,18.26368904,-0.2849190941870587
940,48.248993,16.357079,-0.2832534382334992
1423,35.43477,-83.44213,-0.2830668634921141
1290,35.587143,-83.07416,-0.2830154107139024
516,27.5342,109.9781,-0.2815845045111516
322,36.6114,116.9862,-0.2803602249132503
1203,40.71099,14.70244,-0.2799487158359989
129,36.2017,117.0885,-0.2784231483181125
925,52.99875,11.73846,-0.278260536696243
729,46.072224,5.820833,-0.277557499033188
1321,40.72099,-74.192894,-0.2774376970594937
1005,44.7037,8.0333,-0.2759846192903115
1204,41.886019,12.541618,-0.2749332964417379
659,36.0855,111.5018,-0.2744832616080023
623,33.5828,114.0138,-0.2744226118058337
508,28.1308,112.8908,-0.2737192223929194
776,46.651838,16.196777,-0.2714588490245852
826,45.1546,7.658,-0.2694823874628822
157,31.7905,116.4996,-0.2692908038092276
1412,29.901035,-95.32613,-0.2687016996234846
388,38.0178,114.5331,-0.2685336427038848
364,38.9511,121.565,-0.2674146329322099
949,50.81487387,3.322494319,-0.267214233367834
1092,48.19223,14.51954,-0.266901255462584
58,30.8064,106.056,-0.2657987680317591
134,32.9735,112.5003,-0.2655576884507294
765,45.809998,2.06,-0.2635622724679232
1354,40.814182,-79.56475,-0.2628190490407192
3,47.3636,123.9305,-0.2627333111647943
1122,43.867496,18.423061,-0.2622124385858183
915,44.4122,8.1695,-0.2620257867130764
53,30.3544,112.2008,-0.2611259379316132
790,46.835,14.84361111,-0.260549168623168
243,32.9673,117.3533,-0.2599824482374692
234,42.8845,125.1358,-0.2596390287856189
1287,36.109005,-79.802315,-0.2594907117840154
1264,35.10264,-85.16219,-0.259424436691306
1047,51.862042,6.874469,-0.2592001380226923
1385,38.11515,-86.60325,-0.2582585590558389
467,29.334,120.04,-0.2582530486394245
855,42.142889,24.765239,-0.25796134158307
1440,47.5525,-122.06472,-0.257901153954592
944,47.04472222,15.15277778,-0.2568345681112242
1097,51.05833172,3.729298172,-0.2559184770298072
1358,40.24699,-76.846985,-0.2548299176712963
71,40.1503,124.4256,-0.2540753026806689
798,42.404687,12.857794,-0.2533751463249458
492,26.3108,117.7275,-0.2519738800294724
872,50.654066,10.769534,-0.2487958401249759
1195,50.0075,20.259167,-0.2487110320746673
468,47.8517,88.1264,-0.2486005694039954
1024,47.054443,-0.886111,-0.2470049954683233
1193,42.39197569,2.842138412,-0.245362380095379
417,28.2475,117.0311,-0.245053782182752
1208,44.386558,23.733658,-0.2449045025106891
671,45.499167,12.262222,-0.2440552187697154
250,50.2524,127.4833,-0.2440037250662442
658,29.4875,106.4782,-0.2432728953674921
274,38.3254,116.8584,-0.2432632485894997
1279,39.9428,-81.3373,-0.2427900745117494
727,47.651725,23.570508,-0.2421770200924873
1329,32.726658,-103.12292,-0.2414213372254078
869,47.913256,7.908035,-0.2409151414807958
297,36.3083,120.3999,-0.2406829205479633
370,43.8325,125.1761,-0.2405346885729018
1301,34.785217,-84.62643,-0.2402042203349
1373,38.45934,-82.64041,-0.2391206098011927
309,36.0658,120.4134,-0.2388660457249687
1110,53.40337,-1.752006,-0.2388341436189029
1216,51.54052,5.85307,-0.2378682958210358
83,34.3731,109.2186,-0.2375575260160514
586,35.7668,115.0,-0.2370621823376857
704,45.569,8.1876,-0.2369852362852665
196,38.2911,109.7456,-0.2359017290191414
1315,42.139996,-87.799225,-0.235548508283069
365,43.7783,125.245,-0.2349395994126324
393,39.0927,117.202,-0.2334282986280083
577,30.6558,104.0219,-0.2321429930932117
911,50.11108017,14.50309563,-0.2315040309208513
1057,52.349703,13.424304,-0.2314468230149128
1421,39.46048,-76.633545,-0.2311937559625911
127,36.7023,119.1437,-0.2310099277100636
852,42.432356,25.637389,-0.2309886262307414
448,31.172,120.658,-0.2299796285446098
901,48.68817,6.190431,-0.2291691449770806
1239,45.248889,10.299444,-0.2289623932026223
