,lat,lon,Date_Mid_Senescence_Phase_1_aot40_r
1027,49.90167,2.304597,-0.220533650406404
264,47.4311,128.5159,-0.2205045434062266
641,24.7791,113.6735,-0.2197711250077226
1399,32.362606,-88.27799,-0.2195292451534809
876,44.99694,11.07083,-0.2189489602121985
474,30.2111,120.2072,-0.2183417331565158
805,46.05184,11.45389,-0.2177061787970292
332,45.6842,126.6206,-0.21748037182153
357,32.1328,119.4303,-0.2173512715877154
1081,51.90158,10.48132,-0.2169224836723864
901,48.68817,6.190431,-0.2165337843079207
804,48.124711,17.125496,-0.216247850160431
724,43.32074,-3.11272,-0.2157457370326438
891,42.516944,1.56525,-0.2153289006651994
882,51.60308,4.781016,-0.2150464370367801
292,37.8692,112.5369,-0.214409768682341
146,32.1142,112.1825,-0.2135749956107622
28,34.6886,112.494,-0.2134049512806963
255,45.6077,122.7911,-0.2129479659100263
196,38.2911,109.7456,-0.2126590163563381
1276,38.81194,-76.74417,-0.212355088804578
455,36.885,120.515,-0.21185639944627
250,50.2524,127.4833,-0.2118383978874743
812,47.27129,11.4169445,-0.2112199204468838
1433,40.56252,-80.503944,-0.2111709796651885
1287,36.109005,-79.802315,-0.210929210481979
175,42.8328,93.4961,-0.2085201228728887
978,44.865555,-0.939444,-0.2081508617726853
1260,32.82006,-96.860115,-0.2064024077005337
965,45.59667,5.918611,-0.2051533338599639
815,49.028057,2.750278,-0.2045651700026348
304,36.6116,114.5302,-0.2039022868877224
1042,53.924712,9.532635,-0.2026611545721904
1321,40.72099,-74.192894,-0.2025283358786846
793,47.06701111,15.49368889,-0.202359916769841
344,34.2761,117.179,-0.2007235005336126
238,50.2472,127.5291,-0.2007200236120374
961,50.79664963,4.358623958,-0.2006995968215281
1221,43.4015,-5.8028,-0.1999231087953229
781,48.167961,17.106244,-0.1988836663804851
448,31.172,120.658,-0.1983888115462946
917,47.72514,10.306561,-0.1976947845828107
843,43.223044,27.587239,-0.1972280440577789
299,34.80246,113.67526,-0.1971772419809846
35,34.3617,108.7233,-0.1970998865556403
772,45.515278,10.219444,-0.1946766180124605
984,54.09323,10.240596,-0.1946564137568093
1369,43.176674,-85.41661,-0.1927428316964011
1106,50.84971052,4.33410368,-0.1923165548202164
1250,44.18089,-85.73898,-0.1920017869126037
1222,49.23074,7.003174,-0.1918986018984356
526,27.8851,102.2685,-0.1904125359588599
658,29.4875,106.4782,-0.1900633246361124
1125,47.565439,14.244676,-0.1898761482579498
1119,45.623056,13.7875,-0.1896680102175761
918,48.904228,11.948795,-0.1893991754730443
1394,33.553055,-86.815,-0.1893726716793512
187,32.4287,105.8628,-0.1892320548582902
179,44.3075,86.0697,-0.1864205704431374
1170,43.5915,3.88681,-0.185791115958385
697,49.66958237,12.6778841,-0.1850560496294357
718,41.096667,-8.555833,-0.1843118098385282
426,37.3753,97.3731,-0.183550410250147
